1978165	21558076	3330	NON	
1891154	21471122	12077	NON	
1884306	21464276	187204	NON	
1968105	21548022	286009	NON	
1154441	20727140	312255	NON	
1890979	21470947	337674	NON	
1496804	21072437	379209	NON	
1836361	21416358	390863	NON	
1904341	21484298	457490	NON	
602331	20175600	468866	NON	
866367	20439401	472648	NON	
1900661	21480623	496025	NON	
1975729	21555640	506666	NON	
1944313	21524250	510457	NON	
1975195	21555110	525739	NON	
441991	20015330	538409	NON	
1482579	21058218	539537	NON	
1968302	21548219	545717	NON	
1417081	20992121	549221	NON	
1376907	20951809	553166	NON	
156836	19730431	557326	NON	
1888437	21468405	557471	NON	
1618867	21198817	558246	NON	
1912723	21492676	567005	NON	
1734750	21314823	568933	NON	
1956084	21536006	570867	NON	
1958780	21538701	574570	NON	
1514928	21090744	575976	NON	
1883064	21463036	578131	NON	
1978141	21558052	579449	NON	
1559175	21135085	585128	NON	
1937190	21517132	594641	NON	
1892759	21472727	598760	NON	
1035489	20608322	602341	NON	
1924266	21504216	604358	NON	
37321	19610970	611631	NON	
1968063	21547980	614235	NON	
1751583	21331638	614385	NON	
1911689	21491642	620613	NON	
1856902	21436885	621144	NON	
1223666	20796327	629387	NON	
1844321	21424314	630171	NON	
1881824	21461796	636145	NON	
1970644	21550560	640218	NON	
1361774	20936688	642452	NON	
1963331	21543249	645874	NON	
1959183	21539104	647830	NON	
1934368	21514314	648613	NON	
1908253	21488210	649858	NON	
966891	20539796	654194	NON	
1876623	21456596	658233	NON	
1934961	21514906	658581	NON	
1276386	20851255	660060	NON	
558038	20131341	661634	NON	
1929515	21509464	662357	NON	
1642846	21222780	663593	NON	
1950841	21530771	665688	NON	
1834158	21414157	670244	NON	
1848607	21428597	671309	NON	
405073	19978439	675895	NON	
1944060	21523997	678891	NON	
218033	19791560	682224	NON	
1938531	21518473	691191	NON	
1897055	21477023	691655	NON	
1945946	21525882	692831	NON	
1810484	21390492	693322	NON	
1945909	21525845	694810	NON	
556809	20130112	699334	NON	
1923477	21503427	700960	NON	
1902320	21482278	710203	NON	
1866605	21446581	711533	NON	
1865693	21445671	715828	NON	
1862091	21442071	717250	NON	
1388266	20963332	717363	NON	
1978899	21558810	717389	NON	
1973611	21553526	719189	NON	
1899761	21479724	719907	NON	
1902315	21482273	721720	NON	
1426574	21001609	722511	NON	
1899767	21479730	725655	NON	
1963788	21543706	725695	NON	
1868085	21448061	727695	NON	
1888773	21468741	733376	NON	
1413485	20988530	734232	NON	
1671256	21251362	735124	NON	
1945572	21525508	735848	NON	
771484	20344635	736061	NON	
986604	20559493	736181	NON	
1884837	21464807	740902	NON	
912725	20485709	742454	NON	
1864854	21444832	742869	NON	
1977984	21557895	745767	NON	
1950843	21530773	752344	NON	
823320	20396420	756932	NON	
1960457	21540378	763536	NON	
1927067	21507016	765932	NON	
1888847	21468815	766387	NON	
1044300	20617126	769152	NON	
798264	20371389	769652	NON	
919877	20492853	773790	NON	
1863305	21443285	775320	NON	
1968174	21548091	776061	NON	
1814786	21394792	777002	NON	
1918586	21498537	777918	NON	
1916477	21496428	780679	NON	
1522113	21097923	788029	NON	
1626711	21206657	793672	NON	
337403	19910812	795109	NON	
1967198	21547116	799640	NON	
1942294	21522231	800538	NON	
1889512	21469480	802519	NON	
1869791	21449765	807891	NON	
179409	19752994	808386	NON	
1327809	20902661	808581	NON	
1443185	21018337	808903	NON	
1953296	21533221	817897	NON	
1979234	21559145	820337	NON	
1960571	21540492	822125	NON	
1864969	21444947	825016	NON	
1937008	21516950	825618	NON	
1943288	21523225	826930	NON	
1901431	21481393	826937	NON	
1955815	21535737	826941	NON	
1935863	21515807	826983	NON	
1761942	21341988	830073	NON	
1899598	21479561	831615	NON	
1939854	21519793	832564	NON	
